q1_age,q11_appnum,q12_freeapppc,q48_edu,q49_marital,q50r1_nochild,q50r2_inftod,q50r3_6_12,q50r4_13_17,q50r5_adult,q56_income,q57_mf,q13_visitfreq_social,q13_visitfreq_music,q13_visitfreq_video,q24_tech_posatt,q24_tech_enter,q24_tech_comm,q24_tech_negatv,q25_prsnlty_leader,q25_prsnlty_risk,q25_prsnlty_drive,q25_prsnlty_follower,q26_shopsavvy_bargain,q26_shopsavvy_brands,q26_shopsavvy_earn2spend,q26_shopsavvy_applover,q26_shopsavvy_children,q2_apple,q2_andriod,q2_windows,q2_tablet,q2_other,q4_use_music_apps,q4_use_tv_apps,q4_use_game_apps,q4_use_social_apps,q4_use_news_apps,q4_use_shop_apps,q4_use_none_apps,q54_white,q54_black,q54_asian,q54_hawai,q54_native,q54_other,q55_latino,X,Y
5,3,4,4,1,0,0,1,1,0,12,0,1,1.25,1.5,1,1,1.3333333333333333,1.5,1.4,3,1.5,2,1.5,2.6,3.6666666666666665,2.8,2,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,17.23743401740156,-2.120633721495006
2,1,5,1,2,1,0,0,0,0,1,0,3,3.25,2.25,1.6,2,2.6666666666666665,3.5,1.4,3,3.75,5,2,3.4,4,4.8,6,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,-8.681862940182226,5.232233183620055
7,3,3,6,4,0,0,1,0,0,14,0,2.75,3.25,2.75,2.8,3,2,2.5,2.2,4,2.5,6,3.5,4,5,4.8,2,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,-5.517957654144536,-9.66733386621248
2,3,3,6,2,1,0,0,0,0,9,0,3.5,2.5,2.5,1.8,1.5,1.3333333333333333,5.5,2.8,3.5,2.75,5,3,4.6,5,4.4,5,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,-1.2446834455158124,1.3443351372174746
9,4,4,3,1,0,0,0,0,1,11,0,4,3.5,2.75,3.4,2.5,1.3333333333333333,1,2,4.5,2.25,5,5,4,4.333333333333333,4.6,6,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,-24.734585273647706,-2.0005612513524405
8,4,3,4,4,0,0,0,0,1,7,1,3.25,2.5,3,3,1.5,2.3333333333333335,3,2.2,4.5,3.25,5,3.5,4.2,2.6666666666666665,4.8,6,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,-28.062166066119897,-2.8035758564073032
3,4,4,5,2,0,0,1,0,0,10,0,1,1,1,1,1,1,1,0.8,1.5,1,1,3,3,2.3333333333333335,3.6,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,27.05906868031337,11.48099230942982
3,1,3,6,1,1,0,0,0,0,2,0,1.75,1,1.25,3.2,3,3.6666666666666665,2,3,5.5,4,3,5,3.2,3.6666666666666665,4.4,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,-2.063107913214486,26.556196340829594
5,3,4,5,1,0,1,1,0,0,10,0,3.25,3.5,2.5,2.4,1,1,5,2.6,5,2.25,5,4.5,5.4,3.6666666666666665,5,5,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,-0.6654930659508659,-16.720584297000652
3,3,2,2,1,0,1,1,0,0,3,1,1.25,1.5,1.25,2,2,2,2,2.4,4.5,3,3,2,2,2,2.4,2,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,4.118098943928787,-8.231098565580208
2,3,2,4,1,0,1,0,0,0,9,0,3.5,2.5,3.25,3.2,2,2.6666666666666665,5,2.8,5,3,1,5,2.4,5,4.4,5,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,23.412358407723357,20.45027427974901
2,4,2,4,2,1,0,0,0,0,9,1,2.75,2,2.5,2.4,2,2.6666666666666665,3.5,1.6,3.5,2.25,5,2.5,2.4,2.6666666666666665,2.8,6,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,16.39624244370157,-12.36669882741638
2,4,4,6,2,1,0,0,0,0,9,1,1,1,1,2.2,3,2.6666666666666665,3.5,2.8,2,3.5,4,3.5,3.8,2.3333333333333335,5.4,3,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,10.193719974282088,7.0842592442823
6,2,4,4,1,0,0,0,1,1,8,1,3.25,2.75,3,2.4,3,4.333333333333333,1.5,2.4,4,2.75,3,2.5,3.4,3.3333333333333335,5.4,4,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1.975717794451833,30.943771133311962
4,2,1,2,3,0,1,0,0,0,6,1,2.75,3.5,3.25,1,1,1,1,1.2,2.5,2.5,1,3,2.4,2.3333333333333335,2.8,2,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,8.802099338064284,-22.058855761172538
4,1,5,3,4,0,1,0,0,0,3,1,2,2.75,2.5,1.8,1,3.3333333333333335,3,1.8,3.5,2.5,2,3,2.6,2.3333333333333335,3.2,4,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,21.618958767165232,16.98139860245095
4,1,6,5,2,1,0,0,0,0,1,0,3,3.75,3.25,4.4,3,4,3.5,3.4,6,2.25,3,5,5.4,5,6,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,21.24967642885259,21.170836371716295
5,4,5,4,1,0,0,1,0,0,12,0,3.25,3.25,1,1,1,1,3.5,1.8,1.5,2.75,6,3,2.6,2.6666666666666665,4.2,4,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,8.494212490150629,22.562962563498107
5,4,5,4,1,0,1,0,0,0,14,1,2.75,3.5,2.75,1.8,1.5,3,5,1.6,3,2.5,4,2,3.2,3,3.8,6,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.6725664758505163,-23.16053433721961
4,3,3,4,3,0,0,1,1,0,11,0,1.75,2,2.5,1.8,1.5,1.3333333333333333,6,1.6,2.5,1.75,4,2,2.8,3,2.4,5,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,15.263411312181326,6.956997199795604
8,1,6,3,1,0,0,0,0,1,5,0,3,4,3,2.8,2.5,2,3.5,2.8,4.5,3.25,5,2.5,4,4,4.4,4,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-26.063340971706204,-11.109129389939108
7,3,3,2,4,0,0,0,1,0,2,1,1.75,2.5,3,1.6,1,1.6666666666666667,3,1.4,3,1.75,6,1.5,2.8,4.333333333333333,3.2,6,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,-11.426642842932003,-4.512005760553009
7,3,4,4,4,0,0,0,0,1,5,1,3.25,3.25,2.75,1.8,1,2,3,1,3,1.5,6,4,3.4,4.333333333333333,3.4,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,-18.408266799176083,-16.487877944915788
8,3,3,3,4,0,0,1,1,1,8,1,1.75,2,2,1,1,1.6666666666666667,4,1.2,3,1.5,6,2,3.2,3.3333333333333335,2.4,3,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,2.1649788733270525,-33.938387729733904
4,4,3,4,1,0,0,1,0,0,10,0,2.5,3.25,1.75,3,1.5,1.6666666666666667,6,1.2,2.5,1.5,6,2.5,2.6,4.333333333333333,2.8,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,-1.562603445743195,-11.126185396697364
2,1,4,2,3,1,0,0,0,0,4,0,3.25,3.25,2.75,2.2,2.5,1.6666666666666667,3.5,1.6,3,2.25,5,2.5,4.2,2.6666666666666665,3.8,6,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,3.2846919482744115,26.890178353434212
10,4,5,6,1,1,0,0,0,0,14,0,3.5,2.75,3,3.2,2,1.6666666666666667,4,1.8,4,2.5,5,3,3,3.3333333333333335,3,6,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,-15.835575745169743,7.442275070642689
3,4,6,4,2,1,0,0,0,0,6,0,3,3,2.75,1,1,1,1,0.8,1.5,1,1,1.5,1.8,1.6666666666666667,2.2,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,11.513253324148966,-5.476185966949848
3,3,4,3,1,1,0,0,0,0,7,1,3.25,3.5,2.25,2,2.5,3.3333333333333335,3,2.2,4,2.25,3,2.5,3.2,3.6666666666666665,3.8,3,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,-3.6718252333659196,9.332738334700664
3,3,4,4,2,1,0,0,0,0,4,1,2.75,2,1.5,2,1.5,2,3.5,2.6,3,3,6,2.5,2.8,4,3.6,3,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,-4.740372822355556,4.935632885204398
3,4,4,6,2,1,0,0,0,0,9,0,3,1.75,1.25,1.6,1,1.3333333333333333,2,0.8,1.5,1,6,2,1.2,1,2.4,6,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,8.040367333177855,25.459781181485344
8,4,6,4,2,1,0,0,0,0,4,1,3.5,4,3.25,3.4,1.5,2.3333333333333335,4.5,3.2,3.5,3,4,3.5,1.8,1.6666666666666667,3.2,6,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,-7.984717128249686,3.6014307777725816
5,4,2,6,1,0,1,1,1,0,12,1,1.25,1.25,1.25,1.4,1.5,1.6666666666666667,4,1.4,2,1.5,1,1,1.8,1.6666666666666667,1.8,2,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,18.91759318904167,-2.983639271226984
4,4,6,2,2,1,0,0,0,0,4,0,3.25,4,3.25,1,1,1,1,0.8,1.5,1,1,1,2,1,1.2,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,11.873517102891615,-5.874001049668329
3,4,5,3,2,1,0,0,0,0,8,0,2.5,2.5,2.25,3,3.5,3,3,2.2,3.5,3,2,3,3.4,4,4,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,26.122905182463676,17.2905651327832
2,4,5,5,1,1,0,0,0,0,12,1,2,3.75,3.25,3,1,2.3333333333333335,5,2.2,5,3.5,5,2,3.6,4.666666666666667,4.8,6,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0.13673367846969495,8.785806471292842
